ionizable_lipid,ionizable_lipid_group,ionizable_lipid_structural_class,peg_lipid,sterol_lipid,helper_lipid,target_type,ionizable_mol_percent_est,helper_mol_percent_est,cholesterol_mol_percent_est,peg_mol_percent_est,total_structural_lipid_percent_est,non_peg_lipid_percent_est,peg_fraction_of_total_lipid_est,ionizable_fraction_of_non_peg_lipid_est,helper_fraction_of_structural_lipid_est,cholesterol_fraction_of_structural_lipid_est,ionizable_helper_ratio,ionizable_cholesterol_ratio,ionizable_peg_ratio,helper_cholesterol_ratio,helper_peg_ratio,cholesterol_peg_ratio,microfluidic_device_family,primary_aqueous_buffer,primary_aqueous_buffer_mM_est,aqueous_phase_pH,aqueous_buffer_acidity_proxy,organic_ethanol_percent_est,organic_phase_contains_aqueous_component,organic_fraction_post_mix,aqueous_fraction_post_mix,post_mix_ethanol_fraction_est,post_mix_buffer_concentration_est,post_mix_buffer_acidity_proxy,has_sterile_filtration,storage_buffer_identity,frr_est,ionizable_adv_MolWt,ionizable_adv_MolLogP,ionizable_adv_TPSA,ionizable_adv_NumHAcceptors,ionizable_adv_NumHDonors,ionizable_adv_NumRotatableBonds,ionizable_adv_HeavyAtomCount,ionizable_adv_FractionCSP3,ionizable_adv_RingCount,ionizable_adv_NumHeteroatoms,ionizable_adv_MolMR,ionizable_adv_FormalCharge,peg_adv_MolWt,peg_adv_MolLogP,peg_adv_TPSA,peg_adv_NumHAcceptors,peg_adv_NumHDonors,peg_adv_NumRotatableBonds,peg_adv_HeavyAtomCount,peg_adv_FractionCSP3,peg_adv_NumHeteroatoms,peg_adv_MolMR,peg_adv_FormalCharge,helper_adv_MolWt,helper_adv_MolLogP,helper_adv_TPSA,helper_adv_NumHAcceptors,helper_adv_NumHDonors,helper_adv_NumRotatableBonds,helper_adv_HeavyAtomCount,helper_adv_FractionCSP3,helper_adv_NumHeteroatoms,helper_adv_MolMR,helper_adv_FormalCharge,total_nitrogen_count,ionizable_nitrogen_count,quaternary_nitrogen_count,nitrogen_to_molecular_weight,ionizable_nitrogen_to_molecular_weight,particle_size_nm_std
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,54.8,33.1,10.1,2.0,43.2,98.0,0.02,0.5591836734693877,0.7662037037037037,0.23379629629629628,1.6555891238670692,5.425742574257425,27.4,3.2772277227722775,16.55,5.05,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,110.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,39.7,30.6,27.3,2.5,57.900000000000006,97.60000000000001,0.024975024975024972,0.4067622950819672,0.5284974093264249,0.4715025906735751,1.2973856209150327,1.4542124542124544,15.88,1.120879120879121,12.24,10.92,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,99.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,49.1,13.7,33.4,3.8,47.099999999999994,96.19999999999999,0.038000000000000006,0.5103950103950105,0.29087048832271767,0.7091295116772824,3.5839416058394162,1.470059880239521,12.921052631578949,0.4101796407185629,3.6052631578947367,8.789473684210526,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,98.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,38.6,15.9,44.4,1.1,60.3,98.9,0.011000000000000001,0.3902932254802831,0.263681592039801,0.736318407960199,2.4276729559748427,0.8693693693693695,35.090909090909086,0.3581081081081081,14.454545454545453,40.36363636363636,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,115.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,40.7,32.2,26.1,1.0,58.300000000000004,99.0,0.01,0.41111111111111115,0.5523156089193825,0.44768439108061747,1.263975155279503,1.5593869731800767,40.7,1.2337164750957854,32.2,26.1,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,128.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,39.7,30.6,27.3,2.5,57.900000000000006,97.60000000000001,0.024975024975024972,0.4067622950819672,0.5284974093264249,0.4715025906735751,1.2973856209150327,1.4542124542124544,15.88,1.120879120879121,12.24,10.92,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,92.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,23.1,33.7,41.4,1.8,75.1,98.2,0.018000000000000002,0.23523421588594706,0.4487350199733689,0.5512649800266312,0.685459940652819,0.5579710144927537,12.833333333333334,0.8140096618357489,18.722222222222225,23.0,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,93.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,30.6,45.0,21.7,2.7,66.7,97.3,0.027000000000000003,0.31449126413155193,0.6746626686656672,0.3253373313343328,0.68,1.4101382488479264,11.333333333333334,2.0737327188940093,16.666666666666664,8.037037037037036,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,92.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,54.4,10.2,32.4,3.0,42.599999999999994,97.0,0.03,0.5608247422680412,0.23943661971830987,0.7605633802816902,5.333333333333334,1.6790123456790125,18.133333333333333,0.3148148148148148,3.4,10.799999999999999,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,102.0
OF-02,OF-02,OF_degradable_lipid_family,DMG-PEG5k,cholesterol,DOPE,mRNA,40.3,35.6,20.9,3.2,56.5,96.80000000000001,0.032,0.4163223140495867,0.6300884955752213,0.3699115044247787,1.1320224719101122,1.9282296650717703,12.593749999999998,1.703349282296651,11.125,6.531249999999999,other_microfluidic,unknown,,,,100.0,False,,,,,,True,other,,1314.1619999999994,21.05140000000001,145.6,8.0,6.0,70.0,94.0,0.7857142857142857,1.0,10.0,407.43460000000164,0.0,,,,,,,,,,,,744.0479999999993,11.60869999999999,134.38,8.0,2.0,39.0,51.0,0.8536585365853658,10.0,210.52669999999915,0.0,4.0,2.0,0.0,0.0030437647717709094,0.0015218823858854547,95.0
